time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2023-06-16,18.6,10.8,0.30
2023-06-17,18.5,11.9,0.50
2023-06-18,19.5,10.3,0.00
2023-06-19,19.7,10.7,0.20
2023-06-20,21.3,14.9,0.00
2023-06-21,18.1,15.2,5.60
2023-06-22,19.5,12.2,0.10
2023-06-23,23.0,13.9,0.00
2023-06-24,28.8,19.0,0.00
2023-06-25,29.0,20.1,0.00
2023-06-26,29.6,23.8,0.00
2023-06-27,28.0,20.2,0.00
2023-06-28,21.6,14.6,1.70
2023-06-29,18.5,11.1,0.20
2023-06-30,22.0,12.1,0.00
2023-07-01,27.0,14.7,0.00
2023-07-02,27.2,16.1,0.00
2023-07-03,26.3,16.5,0.00
2023-07-04,26.8,19.2,0.00
2023-07-05,27.9,18.4,0.00
2023-07-06,27.8,19.4,0.00
2023-07-07,26.0,19.0,1.60
2023-07-08,23.1,18.5,0.10
2023-07-09,22.6,16.9,0.00
2023-07-10,21.8,18.0,1.40
2023-07-11,21.4,18.0,1.10
2023-07-12,18.7,12.9,72.30
2023-07-13,12.9,7.9,0.00
2023-07-14,13.4,5.6,0.10
2023-07-15,17.0,7.1,0.00
2023-07-16,17.8,9.1,0.00
2023-07-17,14.6,8.3,0.00
2023-07-18,13.7,6.2,0.00
2023-07-19,15.5,5.5,0.00
2023-07-20,24.8,11.6,0.10
2023-07-21,28.9,20.6,0.00
2023-07-22,29.0,23.2,0.00
2023-07-23,26.0,18.6,0.00
2023-07-24,20.9,15.0,6.20
2023-07-25,16.2,12.4,6.30
2023-07-26,17.9,10.6,0.00
2023-07-27,16.9,9.1,1.30
2023-07-28,19.6,12.1,0.00
2023-07-29,19.9,9.4,0.00
2023-07-30,25.8,11.0,0.00
2023-07-31,28.7,15.2,0.00
2023-08-01,31.2,19.1,0.00
2023-08-02,31.7,19.1,0.00
2023-08-03,31.0,19.9,0.00
2023-08-04,30.9,19.1,0.00
2023-08-05,33.2,18.9,0.00
2023-08-06,32.8,21.9,0.00
2023-08-07,25.2,16.1,7.70
2023-08-08,18.0,13.2,17.50
2023-08-09,21.1,12.8,6.00
2023-08-10,28.0,15.2,3.70
2023-08-11,24.1,17.2,0.00
2023-08-12,18.2,11.9,0.00
2023-08-13,17.5,8.3,0.00
2023-08-14,23.5,9.5,0.00
2023-08-15,30.7,15.2,0.00
2023-08-16,33.6,22.2,0.00
2023-08-17,35.1,24.5,0.00
2023-08-18,22.3,15.8,17.90
2023-08-19,21.5,12.9,0.10
2023-08-20,25.9,12.7,0.00
2023-08-21,30.1,15.3,0.00
2023-08-22,33.9,22.9,0.00
2023-08-23,25.3,18.2,0.00
2023-08-24,22.2,14.8,0.00
2023-08-25,21.2,12.1,0.00
2023-08-26,19.9,10.9,0.00
2023-08-27,19.6,9.2,0.00
2023-08-28,22.0,8.9,0.00
2023-08-29,25.2,13.8,0.00
2023-08-30,29.1,14.0,0.00
2023-08-31,30.6,16.1,0.00
2023-09-01,23.4,20.2,50.60
2023-09-02,29.1,19.5,5.10
2023-09-03,26.6,18.4,13.30
2023-09-04,18.2,14.6,26.60
2023-09-05,17.6,12.9,0.20
2023-09-06,22.5,13.6,0.00
2023-09-07,25.5,18.0,31.40
2023-09-08,19.5,14.2,1.90
2023-09-09,22.9,12.9,0.00
2023-09-10,27.9,15.0,0.00
2023-09-11,32.5,21.0,8.90
2023-09-12,22.0,13.6,21.20
2023-09-13,17.1,11.4,2.00
2023-09-14,19.4,7.6,0.00
2023-09-15,23.5,10.4,0.00
2023-09-16,29.1,15.5,0.00
2023-09-17,33.2,24.5,0.00
2023-09-18,30.2,17.0,0.00
2023-09-19,20.6,16.0,0.00
2023-09-20,25.5,16.0,0.00
